,1.imp.prs.pl,1.ind.prs.pl,1.ind.prs.sg,1.prs.pl.sbjv,1.sg.prs.cond,1.sg.prs.sbjv,2.ind.pl.pst,2.ind.sg.pst,2.pl.pst.sbjv,2.prs.cond.pl,2.sg.prs.cond,2.sg.pst.sbjv,3.ind.fut.pl,3.ind.fut.sg,3.pl.pst.sbjv,3.prs.pl.sbjv,3.sg.pst.sbjv,imp.prs.2.sg,ind.1.pl.ipfv,ind.1.pst.sg,ind.1.sg.ipfv,ind.3.pl.ipfv,ind.3.pl.pst,ind.3.prs.pl,ind.3.prs.sg,ind.3.sg.ipfv,ind.3.sg.pst,ind.fut.1.pl,ind.fut.1.sg,ind.fut.pl.2,ind.fut.sg.2,ind.pl.2.ipfv,ind.prs.2.sg,ind.sg.2.ipfv,inf,m.ptcp.pl.pst,m.ptcp.sg.pst,pl.1.prs.cond,pl.1.pst.sbjv,pl.3.prs.cond,pl.imp.prs.2,pl.ind.1.pst,pl.ind.prs.2,pl.prs.2.sbjv,ptcp.pl.pst.f,ptcp.prs,ptcp.sg.pst.f,sg.1.pst.sbjv,sg.3.prs.cond,sg.3.prs.sbjv,sg.prs.2.sbjv,stem
abonner,"['O', 'ɔ̃']","['O', 'ɔ̃']",['ɔ'],"['O', 'jɔ̃']","['ɔ', 'əʁE']",['ɔ'],"['O', 'at']","['O', 'a']","['O', 'asje']","['ɔ', 'əʁje']","['ɔ', 'əʁE']","['O', 'as']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁa']","['O', 'as']",['ɔ'],"['O', 'a']",['ɔ'],"['O', 'jɔ̃']","['O', 'E']","['O', 'E']","['O', 'E']","['O', 'Eʁ']",['ɔ'],['ɔ'],"['O', 'E']","['O', 'a']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁE']","['ɔ', 'əʁ', 'e']","['ɔ', 'əʁa']","['O', 'je']",['ɔ'],"['O', 'E']","['O', 'e']","['O', 'e']","['O', 'e']","['ɔ', 'əʁjɔ̃']","['O', 'asjɔ̃']","['ɔ', 'əʁE']","['O', 'e']","['O', 'am']","['O', 'e']","['O', 'je']","['O', 'e']","['O', 'ɑ̃']","['O', 'e']","['O', 'as']","['ɔ', 'əʁE']",['ɔ'],['ɔ'],"['ab', 'n']"
abonnir,"['s', 'ɔ̃']","['s', 'ɔ̃']",[''],['sjɔ̃'],['ʁE'],['s'],['t'],[''],['sje'],['ʁje'],['ʁE'],['s'],"['ʁ', 'ɔ̃']",['ʁa'],['s'],['s'],[''],[''],['sjɔ̃'],[''],['sE'],['sE'],['ʁ'],['s'],[''],['sE'],[''],"['ʁ', 'ɔ̃']",['ʁE'],"['ʁ', 'e']",['ʁa'],['sje'],[''],['sE'],['ʁ'],[''],[''],['ʁjɔ̃'],['sjɔ̃'],['ʁE'],"['s', 'e']",['m'],"['s', 'e']",['sje'],[''],['sɑ̃'],[''],['s'],['ʁE'],['s'],['s'],['abOni']
aborder,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['abɔʁd']
aboucher,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['abuʃ']
abouler,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['abul']
aboutir,"['s', 'ɔ̃']","['s', 'ɔ̃']",[''],['sjɔ̃'],['ʁE'],['s'],['t'],[''],['sje'],['ʁje'],['ʁE'],['s'],"['ʁ', 'ɔ̃']",['ʁa'],['s'],['s'],[''],[''],['sjɔ̃'],[''],['sE'],['sE'],['ʁ'],['s'],[''],['sE'],[''],"['ʁ', 'ɔ̃']",['ʁE'],"['ʁ', 'e']",['ʁa'],['sje'],[''],['sE'],['ʁ'],[''],[''],['ʁjɔ̃'],['sjɔ̃'],['ʁE'],"['s', 'e']",['m'],"['s', 'e']",['sje'],[''],['sɑ̃'],[''],['s'],['ʁE'],['s'],['s'],['abuti']
aboyer,['jɔ̃'],['jɔ̃'],[''],['jɔ̃'],['ʁE'],[''],['jat'],['ja'],['jasje'],['ʁje'],['ʁE'],['jas'],"['ʁ', 'ɔ̃']",['ʁa'],['jas'],[''],['ja'],[''],['jɔ̃'],"['j', 'E']","['j', 'E']","['j', 'E']",['jEʁ'],[''],[''],"['j', 'E']",['ja'],"['ʁ', 'ɔ̃']",['ʁE'],"['ʁ', 'e']",['ʁa'],"['j', 'e']",[''],"['j', 'E']","['j', 'e']","['j', 'e']","['j', 'e']",['ʁjɔ̃'],['jasjɔ̃'],['ʁE'],"['j', 'e']",['jam'],"['j', 'e']","['j', 'e']","['j', 'e']",['jɑ̃'],"['j', 'e']",['jas'],['ʁE'],[''],[''],['abwa']
abreuver,"['Ø', 'ɔ̃']","['Ø', 'ɔ̃']",['œ'],"['Ø', 'jɔ̃']","['œ', 'əʁE']",['œ'],"['Ø', 'at']","['Ø', 'a']","['Ø', 'asje']","['œ', 'əʁje']","['œ', 'əʁE']","['Ø', 'as']","['œ', 'əʁ', 'ɔ̃']","['œ', 'əʁa']","['Ø', 'as']",['œ'],"['Ø', 'a']",['œ'],"['Ø', 'jɔ̃']","['Ø', 'E']","['Ø', 'E']","['Ø', 'E']","['Ø', 'Eʁ']",['œ'],['œ'],"['Ø', 'E']","['Ø', 'a']","['œ', 'əʁ', 'ɔ̃']","['œ', 'əʁE']","['œ', 'əʁ', 'e']","['œ', 'əʁa']","['Ø', 'je']",['œ'],"['Ø', 'E']","['Ø', 'e']","['Ø', 'e']","['Ø', 'e']","['œ', 'əʁjɔ̃']","['Ø', 'asjɔ̃']","['œ', 'əʁE']","['Ø', 'e']","['Ø', 'am']","['Ø', 'e']","['Ø', 'je']","['Ø', 'e']","['Ø', 'ɑ̃']","['Ø', 'e']","['Ø', 'as']","['œ', 'əʁE']",['œ'],['œ'],"['abʁ', 'v']"
abriter,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['abʁit']
abroger,"['O', 'ɔ̃']","['O', 'ɔ̃']",['ɔ'],"['O', 'jɔ̃']","['ɔ', 'əʁE']",['ɔ'],"['O', 'at']","['O', 'a']","['O', 'asje']","['ɔ', 'əʁje']","['ɔ', 'əʁE']","['O', 'as']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁa']","['O', 'as']",['ɔ'],"['O', 'a']",['ɔ'],"['O', 'jɔ̃']","['O', 'E']","['O', 'E']","['O', 'E']","['O', 'Eʁ']",['ɔ'],['ɔ'],"['O', 'E']","['O', 'a']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁE']","['ɔ', 'əʁ', 'e']","['ɔ', 'əʁa']","['O', 'je']",['ɔ'],"['O', 'E']","['O', 'e']","['O', 'e']","['O', 'e']","['ɔ', 'əʁjɔ̃']","['O', 'asjɔ̃']","['ɔ', 'əʁE']","['O', 'e']","['O', 'am']","['O', 'e']","['O', 'je']","['O', 'e']","['O', 'ɑ̃']","['O', 'e']","['O', 'as']","['ɔ', 'əʁE']",['ɔ'],['ɔ'],"['abʁ', 'ʒ']"
abrutir,"['s', 'ɔ̃']","['s', 'ɔ̃']",[''],['sjɔ̃'],['ʁE'],['s'],['t'],[''],['sje'],['ʁje'],['ʁE'],['s'],"['ʁ', 'ɔ̃']",['ʁa'],['s'],['s'],[''],[''],['sjɔ̃'],[''],['sE'],['sE'],['ʁ'],['s'],[''],['sE'],[''],"['ʁ', 'ɔ̃']",['ʁE'],"['ʁ', 'e']",['ʁa'],['sje'],[''],['sE'],['ʁ'],[''],[''],['ʁjɔ̃'],['sjɔ̃'],['ʁE'],"['s', 'e']",['m'],"['s', 'e']",['sje'],[''],['sɑ̃'],[''],['s'],['ʁE'],['s'],['s'],['abʁyti']
abréger,"['E', 'ɔ̃']","['E', 'ɔ̃']",['ɛ'],"['E', 'jɔ̃']","['ɛ', 'əʁE']",['ɛ'],"['E', 'at']","['E', 'a']","['E', 'asje']","['ɛ', 'əʁje']","['ɛ', 'əʁE']","['E', 'as']","['ɛ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁa']","['E', 'as']",['ɛ'],"['E', 'a']",['ɛ'],"['E', 'jɔ̃']","['E', 'E']","['E', 'E']","['E', 'E']","['E', 'Eʁ']",['ɛ'],['ɛ'],"['E', 'E']","['E', 'a']","['ɛ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁE']","['ɛ', 'əʁ', 'e']","['ɛ', 'əʁa']","['E', 'je']",['ɛ'],"['E', 'E']","['E', 'e']","['E', 'e']","['E', 'e']","['ɛ', 'əʁjɔ̃']","['E', 'asjɔ̃']","['ɛ', 'əʁE']","['E', 'e']","['E', 'am']","['E', 'e']","['E', 'je']","['E', 'e']","['E', 'ɑ̃']","['E', 'e']","['E', 'as']","['ɛ', 'əʁE']",['ɛ'],['ɛ'],"['abʁ', 'ʒ']"
absenter,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['apsɑ̃t']
absorber,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['apsɔʁb']
absoudre,"['ɔlv', 'ɔ̃']","['ɔlv', 'ɔ̃']",['u'],"['ɔlv', 'jɔ̃']",['udʁE'],['ɔlv'],[nan],[nan],[nan],['udʁije'],['udʁE'],[nan],"['udʁ', 'ɔ̃']",['udʁa'],[nan],['ɔlv'],[nan],['u'],"['ɔlv', 'jɔ̃']",[nan],['ɔlvE'],['ɔlvE'],[nan],['ɔlv'],['u'],['ɔlvE'],[nan],"['udʁ', 'ɔ̃']",['udʁE'],"['udʁ', 'e']",['udʁa'],"['ɔlv', 'je']","['ou', 'oulv']",['ɔlvE'],['udʁ'],['u'],['u'],['udʁijɔ̃'],[nan],['udʁE'],"['ɔlv', 'e']",[nan],"['ɔlv', 'e']","['ɔlv', 'je']",['ut'],['ɔlvɑ̃'],['ut'],[nan],['udʁE'],['ɔlv'],['ɔlv'],['aps']
abstenir,"['ə', 'n', 'ɔ̃']","['ə', 'n', 'ɔ̃']",['jɛ̃'],"['ə', 'n', 'jɔ̃']",['jɛ̃dʁE'],['jɛn'],['ɛ̃t'],['ɛ̃'],"['ɛ̃s', 'je']",['jɛ̃dʁije'],['jɛ̃dʁE'],['ɛ̃s'],"['jɛ̃dʁ', 'ɔ̃']",['jɛ̃dʁa'],['ɛ̃s'],['jɛn'],['ɛ̃'],['jɛ̃'],"['ə', 'n', 'jɔ̃']",['ɛ̃'],"['ə', 'n', 'E']","['ə', 'n', 'E']","['ɛ̃', 'ʁ']",['jɛn'],['jɛ̃'],"['ə', 'n', 'E']",['ɛ̃'],"['jɛ̃dʁ', 'ɔ̃']",['jɛ̃dʁE'],"['jɛ̃dʁ', 'e']",['jɛ̃dʁa'],"['ə', 'n', 'je']",['jɛ̃'],"['ə', 'n', 'E']","['ə', 'n', 'iʁ']","['ə', 'n']","['ə', 'n']",['jɛ̃dʁijɔ̃'],"['ɛ̃s', 'jɔ̃']",['jɛ̃dʁE'],"['ə', 'n', 'e']",['ɛ̃m'],"['ə', 'n', 'e']","['ə', 'n', 'je']","['ə', 'n']","['ə', 'nɑ̃']","['ə', 'n']",['ɛ̃s'],['jɛ̃dʁE'],['jɛn'],['jɛn'],"['apst', 'y']"
