,1.imp.prs.pl,1.ind.prs.pl,1.ind.prs.sg,1.prs.pl.sbjv,1.sg.prs.cond,1.sg.prs.sbjv,2.ind.pl.pst,2.ind.sg.pst,2.pl.pst.sbjv,2.prs.cond.pl,2.sg.prs.cond,2.sg.pst.sbjv,3.ind.fut.pl,3.ind.fut.sg,3.pl.pst.sbjv,3.prs.pl.sbjv,3.sg.pst.sbjv,imp.prs.2.sg,ind.1.pl.ipfv,ind.1.pst.sg,ind.1.sg.ipfv,ind.3.pl.ipfv,ind.3.pl.pst,ind.3.prs.pl,ind.3.prs.sg,ind.3.sg.ipfv,ind.3.sg.pst,ind.fut.1.pl,ind.fut.1.sg,ind.fut.pl.2,ind.fut.sg.2,ind.pl.2.ipfv,ind.prs.2.sg,ind.sg.2.ipfv,inf,m.ptcp.pl.pst,m.ptcp.sg.pst,pl.1.prs.cond,pl.1.pst.sbjv,pl.3.prs.cond,pl.imp.prs.2,pl.ind.1.pst,pl.ind.prs.2,pl.prs.2.sbjv,ptcp.pl.pst.f,ptcp.prs,ptcp.sg.pst.f,sg.1.pst.sbjv,sg.3.prs.cond,sg.3.prs.sbjv,sg.prs.2.sbjv,stem
combler,['ɔ̃'],['ɔ̃'],[''],"['i', 'jɔ̃']",['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],"['i', 'jɔ̃']",['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],"['i', 'je']",[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],"['i', 'je']",['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃bl']
commander,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kOmɑ̃d']
commanditer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kOmɑ̃dit']
commencer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kOmɑ̃s']
commenter,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kOmɑ̃t']
commercer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kOmɛʁs']
commercialiser,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kOmɛʁsjaliz']
commettre,"['Et', 'ɔ̃']","['Et', 'ɔ̃']",['E'],"['Et', 'jɔ̃']",['EtʁE'],['ɛt'],['it'],['i'],"['is', 'je']",['Etʁije'],['EtʁE'],['is'],"['Etʁ', 'ɔ̃']",['Etʁa'],['is'],['ɛt'],['i'],['E'],"['Et', 'jɔ̃']",['i'],"['Et', 'E']","['Et', 'E']","['i', 'ʁ']",['ɛt'],['E'],"['Et', 'E']",['i'],"['Etʁ', 'ɔ̃']",['EtʁE'],['Etʁe'],['Etʁa'],"['Et', 'je']",['E'],"['Et', 'E']",['ɛtʁ'],['i'],['i'],['Etʁijɔ̃'],"['is', 'jɔ̃']",['EtʁE'],"['Et', 'e']",['im'],"['Et', 'e']","['Et', 'je']",['iz'],['Etɑ̃'],['iz'],['is'],['EtʁE'],['ɛt'],['ɛt'],['kOm']
commuer,['ɥɔ̃'],['ɥɔ̃'],['y'],"['y', 'jɔ̃']","['y', 'ʁE']",['y'],['ɥat'],['ɥa'],['ɥasje'],"['y', 'ʁje']","['y', 'ʁE']",['ɥas'],"['y', 'ʁ', 'ɔ̃']","['y', 'ʁa']",['ɥas'],['y'],['ɥa'],['y'],"['y', 'jɔ̃']","['ɥ', 'E']","['ɥ', 'E']","['ɥ', 'E']",['ɥEʁ'],['y'],['y'],"['ɥ', 'E']",['ɥa'],"['y', 'ʁ', 'ɔ̃']","['y', 'ʁE']","['y', 'ʁ', 'e']","['y', 'ʁa']","['y', 'je']",['y'],"['ɥ', 'E']","['ɥ', 'e']","['ɥ', 'e']","['ɥ', 'e']","['y', 'ʁjɔ̃']",['ɥasjɔ̃'],"['y', 'ʁE']","['ɥ', 'e']",['ɥam'],"['ɥ', 'e']","['y', 'je']","['ɥ', 'e']",['ɥɑ̃'],"['ɥ', 'e']",['ɥas'],"['y', 'ʁE']",['y'],['y'],['kOm']
communier,"['j', 'ɔ̃']","['j', 'ɔ̃']",['i'],"['j', 'ɔ̃']","['i', 'ʁE']",['i'],['jat'],"['j', 'a']",['jasje'],"['i', 'ʁje']","['i', 'ʁE']",['jas'],"['i', 'ʁ', 'ɔ̃']","['i', 'ʁa']",['jas'],['i'],"['j', 'a']",['i'],"['j', 'ɔ̃']",['jE'],['jE'],['jE'],['jEʁ'],['i'],['i'],['jE'],"['j', 'a']","['i', 'ʁ', 'ɔ̃']","['i', 'ʁE']","['i', 'ʁ', 'e']","['i', 'ʁa']","['ij', 'ije', 'je']",['i'],['jE'],['je'],['je'],['je'],"['i', 'ʁjɔ̃']",['jasjɔ̃'],"['i', 'ʁE']",['je'],['jam'],['je'],"['ij', 'ije', 'je']",['je'],['jɑ̃'],['je'],['jas'],"['i', 'ʁE']",['i'],['i'],['kOmyn']
communiquer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kOmynik']
commuter,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kOmyt']
commémorer,"['O', 'ɔ̃']","['O', 'ɔ̃']",['ɔ'],"['O', 'jɔ̃']","['ɔ', 'əʁE']",['ɔ'],"['O', 'at']","['O', 'a']","['O', 'asje']","['ɔ', 'əʁje']","['ɔ', 'əʁE']","['O', 'as']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁa']","['O', 'as']",['ɔ'],"['O', 'a']",['ɔ'],"['O', 'jɔ̃']","['O', 'E']","['O', 'E']","['O', 'E']","['O', 'Eʁ']",['ɔ'],['ɔ'],"['O', 'E']","['O', 'a']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁE']","['ɔ', 'əʁ', 'e']","['ɔ', 'əʁa']","['O', 'je']",['ɔ'],"['O', 'E']","['O', 'e']","['O', 'e']","['O', 'e']","['ɔ', 'əʁjɔ̃']","['O', 'asjɔ̃']","['ɔ', 'əʁE']","['O', 'e']","['O', 'am']","['O', 'e']","['O', 'je']","['O', 'e']","['O', 'ɑ̃']","['O', 'e']","['O', 'as']","['ɔ', 'əʁE']",['ɔ'],['ɔ'],"['komEm', 'ʁ']"
commérer,"['E', 'ɔ̃']","['E', 'ɔ̃']",['ɛ'],"['E', 'jɔ̃']","['ɛ', 'əʁE']",['ɛ'],"['E', 'at']","['E', 'a']","['E', 'asje']","['ɛ', 'əʁje']","['ɛ', 'əʁE']","['E', 'as']","['ɛ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁa']","['E', 'as']",['ɛ'],"['E', 'a']",['ɛ'],"['E', 'jɔ̃']","['E', 'E']","['E', 'E']","['E', 'E']","['E', 'Eʁ']",['ɛ'],['ɛ'],"['E', 'E']","['E', 'a']","['ɛ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁE']","['ɛ', 'əʁ', 'e']","['ɛ', 'əʁa']","['E', 'je']",['ɛ'],"['E', 'E']","['E', 'e']","['E', 'e']","['E', 'e']","['ɛ', 'əʁjɔ̃']","['E', 'asjɔ̃']","['ɛ', 'əʁE']","['E', 'e']","['E', 'am']","['E', 'e']","['E', 'je']","['E', 'e']","['E', 'ɑ̃']","['E', 'e']","['E', 'as']","['ɛ', 'əʁE']",['ɛ'],['ɛ'],"['kOm', 'ʁ']"
comparaître,"['Es', 'ɔ̃']","['Es', 'ɔ̃']",['E'],"['Es', 'jɔ̃']",['EtʁE'],['ɛs'],['yt'],['y'],"['ys', 'je']",['Etʁije'],['EtʁE'],['ys'],"['Etʁ', 'ɔ̃']",['Etʁa'],['ys'],['ɛs'],['y'],['E'],"['Es', 'jɔ̃']",['y'],"['Es', 'E']","['Es', 'E']","['y', 'ʁ']",['ɛs'],['E'],"['Es', 'E']",['y'],"['Etʁ', 'ɔ̃']",['EtʁE'],"['Etʁ', 'e']",['Etʁa'],"['Es', 'je']",['E'],"['Es', 'E']",['ɛtʁ'],['y'],['y'],['Etʁijɔ̃'],"['ys', 'jɔ̃']",['EtʁE'],"['Es', 'e']",['ym'],"['Es', 'e']","['Es', 'je']",['y'],['Esɑ̃'],['y'],['ys'],['EtʁE'],['ɛs'],['ɛs'],['kɔ̃paʁ']
comparer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃paʁ']
compartimenter,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃paʁtimɑ̃t']
compatir,"['s', 'ɔ̃']","['s', 'ɔ̃']",[''],['sjɔ̃'],['ʁE'],['s'],['t'],[''],['sje'],['ʁje'],['ʁE'],['s'],"['ʁ', 'ɔ̃']",['ʁa'],['s'],['s'],[''],[''],['sjɔ̃'],[''],['sE'],['sE'],['ʁ'],['s'],[''],['sE'],[''],"['ʁ', 'ɔ̃']",['ʁE'],"['ʁ', 'e']",['ʁa'],['sje'],[''],['sE'],['ʁ'],[''],[''],['ʁjɔ̃'],['sjɔ̃'],['ʁE'],"['s', 'e']",['m'],"['s', 'e']",['sje'],[''],['sɑ̃'],[''],['s'],['ʁE'],['s'],['s'],['kɔ̃pati']
compenser,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃pɑ̃s']
compiler,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃pil']
compisser,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃pis']
complaire,"['Ez', 'ɔ̃']","['Ez', 'ɔ̃']",['E'],['Ezjɔ̃'],['EʁE'],['ɛz'],['yt'],['y'],['ysje'],['Eʁje'],['EʁE'],['ys'],"['Eʁ', 'ɔ̃']",['Eʁa'],['ys'],['ɛz'],['y'],['E'],['Ezjɔ̃'],['y'],['EzE'],['EzE'],['yʁ'],['ɛz'],['E'],['EzE'],['y'],"['Eʁ', 'ɔ̃']",['EʁE'],"['Eʁ', 'e']",['Eʁa'],['Ezje'],['E'],['EzE'],['ɛʁ'],['y'],['y'],['Eʁjɔ̃'],['ysjɔ̃'],['EʁE'],"['Ez', 'e']",['ym'],"['Ez', 'e']",['Ezje'],['y'],['Ezɑ̃'],['y'],['ys'],['EʁE'],['ɛz'],['ɛz'],['kɔ̃pl']
complexer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃plEks']
complimenter,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃plimɑ̃t']
compliquer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃plik']
comploter,"['O', 'ɔ̃']","['O', 'ɔ̃']",['ɔ'],"['O', 'jɔ̃']","['ɔ', 'əʁE']",['ɔ'],"['O', 'at']","['O', 'a']","['O', 'asje']","['ɔ', 'əʁje']","['ɔ', 'əʁE']","['O', 'as']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁa']","['O', 'as']",['ɔ'],"['O', 'a']",['ɔ'],"['O', 'jɔ̃']","['O', 'E']","['O', 'E']","['O', 'E']","['O', 'Eʁ']",['ɔ'],['ɔ'],"['O', 'E']","['O', 'a']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁE']","['ɔ', 'əʁ', 'e']","['ɔ', 'əʁa']","['O', 'je']",['ɔ'],"['O', 'E']","['O', 'e']","['O', 'e']","['O', 'e']","['ɔ', 'əʁjɔ̃']","['O', 'asjɔ̃']","['ɔ', 'əʁE']","['O', 'e']","['O', 'am']","['O', 'e']","['O', 'je']","['O', 'e']","['O', 'ɑ̃']","['O', 'e']","['O', 'as']","['ɔ', 'əʁE']",['ɔ'],['ɔ'],"['kɔ̃pl', 't']"
compléter,"['E', 'ɔ̃']","['E', 'ɔ̃']",['ɛ'],"['E', 'jɔ̃']","['ɛ', 'əʁE']",['ɛ'],"['E', 'at']","['E', 'a']","['E', 'asje']","['ɛ', 'əʁje']","['ɛ', 'əʁE']","['E', 'as']","['ɛ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁa']","['E', 'as']",['ɛ'],"['E', 'a']",['ɛ'],"['E', 'jɔ̃']","['E', 'E']","['E', 'E']","['E', 'E']","['E', 'Eʁ']",['ɛ'],['ɛ'],"['E', 'E']","['E', 'a']","['ɛ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁE']","['ɛ', 'əʁ', 'e']","['ɛ', 'əʁa']","['E', 'je']",['ɛ'],"['E', 'E']","['E', 'e']","['E', 'e']","['E', 'e']","['ɛ', 'əʁjɔ̃']","['E', 'asjɔ̃']","['ɛ', 'əʁE']","['E', 'e']","['E', 'am']","['E', 'e']","['E', 'je']","['E', 'e']","['E', 'ɑ̃']","['E', 'e']","['E', 'as']","['ɛ', 'əʁE']",['ɛ'],['ɛ'],"['kɔ̃pl', 't']"
comporter,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃pɔʁt']
composer,"['O', 'ɔ̃']","['O', 'ɔ̃']",['ɔ'],"['O', 'jɔ̃']","['ɔ', 'əʁE']",['ɔ'],"['O', 'at']","['O', 'a']","['O', 'asje']","['ɔ', 'əʁje']","['ɔ', 'əʁE']","['O', 'as']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁa']","['O', 'as']",['ɔ'],"['O', 'a']",['ɔ'],"['O', 'jɔ̃']","['O', 'E']","['O', 'E']","['O', 'E']","['O', 'Eʁ']",['ɔ'],['ɔ'],"['O', 'E']","['O', 'a']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁE']","['ɔ', 'əʁ', 'e']","['ɔ', 'əʁa']","['O', 'je']",['ɔ'],"['O', 'E']","['O', 'e']","['O', 'e']","['O', 'e']","['ɔ', 'əʁjɔ̃']","['O', 'asjɔ̃']","['ɔ', 'əʁE']","['O', 'e']","['O', 'am']","['O', 'e']","['O', 'je']","['O', 'e']","['O', 'ɑ̃']","['O', 'e']","['O', 'as']","['ɔ', 'əʁE']",['ɔ'],['ɔ'],"['kɔ̃p', 'z']"
composter,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃pOst']
comprendre,"['ən', 'ɔ̃']","['ən', 'ɔ̃']",['ɑ̃'],"['ən', 'jɔ̃']",['ɑ̃dʁE'],['ɛn'],['it'],['i'],['isje'],"['ɑ̃dʁi', 'je']",['ɑ̃dʁE'],['is'],"['ɑ̃dʁ', 'ɔ̃']",['ɑ̃dʁa'],['is'],['ɛn'],['i'],['ɑ̃'],"['ən', 'jɔ̃']",['i'],['ənE'],['ənE'],['iʁ'],['ɛn'],['ɑ̃'],['ənE'],['i'],"['ɑ̃dʁ', 'ɔ̃']",['ɑ̃dʁE'],['ɑ̃dʁe'],['ɑ̃dʁa'],"['ən', 'je']",['ɑ̃'],['ənE'],['ɑ̃dʁ'],['i'],['i'],"['ɑ̃dʁi', 'jɔ̃']",['isjɔ̃'],['ɑ̃dʁE'],"['ən', 'e']",['im'],"['ən', 'e']","['ən', 'je']",['iz'],['ənɑ̃'],['iz'],['is'],['ɑ̃dʁE'],['ɛn'],['ɛn'],['kɔ̃pʁ']
compresser,"['E', 'ɔ̃']","['E', 'ɔ̃']",['ɛ'],"['E', 'jɔ̃']","['ɛ', 'əʁE']",['ɛ'],"['E', 'at']","['E', 'a']","['E', 'asje']","['ɛ', 'əʁje']","['ɛ', 'əʁE']","['E', 'as']","['ɛ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁa']","['E', 'as']",['ɛ'],"['E', 'a']",['ɛ'],"['E', 'jɔ̃']","['E', 'E']","['E', 'E']","['E', 'E']","['E', 'Eʁ']",['ɛ'],['ɛ'],"['E', 'E']","['E', 'a']","['ɛ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁE']","['ɛ', 'əʁ', 'e']","['ɛ', 'əʁa']","['E', 'je']",['ɛ'],"['E', 'E']","['E', 'e']","['E', 'e']","['E', 'e']","['ɛ', 'əʁjɔ̃']","['E', 'asjɔ̃']","['ɛ', 'əʁE']","['E', 'e']","['E', 'am']","['E', 'e']","['E', 'je']","['E', 'e']","['E', 'ɑ̃']","['E', 'e']","['E', 'as']","['ɛ', 'əʁE']",['ɛ'],['ɛ'],"['kɔ̃pʁ', 's']"
comprimer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['kɔ̃pʁim']
compromettre,"['Et', 'ɔ̃']","['Et', 'ɔ̃']",['E'],"['Et', 'jɔ̃']",['EtʁE'],['ɛt'],['it'],['i'],"['is', 'je']",['Etʁije'],['EtʁE'],['is'],"['Etʁ', 'ɔ̃']",['Etʁa'],['is'],['ɛt'],['i'],['E'],"['Et', 'jɔ̃']",['i'],"['Et', 'E']","['Et', 'E']","['i', 'ʁ']",['ɛt'],['E'],"['Et', 'E']",['i'],"['Etʁ', 'ɔ̃']",['EtʁE'],"['Etʁ', 'e']",['Etʁa'],"['Et', 'je']",['E'],"['Et', 'E']",['ɛtʁ'],['i'],['i'],['Etʁijɔ̃'],"['is', 'jɔ̃']",['EtʁE'],"['Et', 'e']",['im'],"['Et', 'e']","['Et', 'je']",['iz'],['Etɑ̃'],['iz'],['is'],['EtʁE'],['ɛt'],['ɛt'],['kɔ̃pʁOm']
